Name,Country,Continent,Age,Height,Weight,Sex,Sport,Event,Medals,Gold,Silver,Bronze
Tilak Ram Tharu,Nepal,Asia,19,168,72,M,Athletics,Men's 100m,,,,
Obinna Metu,Nigeria,Africa,24,189,76,M,Athletics,Men's 100m,,,,
Ogho-Oghene Egwero,Nigeria,Africa,23,152,64,M,Athletics,Men's 100m,,,,
Peter Emelieze,Nigeria,Africa,24,170,65,M,Athletics,Men's 100m,,,,
Barakat Mubarak Al-Harthi,Oman,Asia,24,171,67,M,Athletics,Men's 100m,,,,
Liaqat Ali,Pakistan,Asia,28,,,M,Athletics,Men's 100m,,,,
Rodman Teltull,Palau,Oceania,18,170,57,M,Athletics,Men's 100m,,,,
Miguel Lopez,Puerto Rico,Americas,22,,,M,Athletics,Men's 100m,,,,
Christopher Lima da Costa,Sao Tome and Principe,Africa,24,175,62,M,Athletics,Men's 100m,,,,
Foo Ee Yeo,Singapore,Asia,25,171,64,M,Athletics,Men's 100m,,,,
Chris Meke Walasi,Solomon Islands,Oceania,32,,,M,Athletics,Men's 100m,,,,
Angel David Rodriguez,Spain,Europe,32,178,73,M,Athletics,Men's 100m,,,,
Courtney Carl Williams,St Vincent and the Grenadines,Americas,21,183,82,M,Athletics,Men's 100m,,,,
Jurgen Themen,Suriname,Americas,26,172,75,M,Athletics,Men's 100m,,,,
Joseph Andy Lui,Tonga,Oceania,20,,,M,Athletics,Men's 100m,,,,
Tavevele Noa,Tuvalu,Oceania,20,176,74,M,Athletics,Men's 100m,,,,
J'maal Alexander,"Virgin Islands, British",Americas,18,,,M,Athletics,Men's 100m,,,,
Gerald Phiri,Zambia,Africa,23,178,80,M,Athletics,Men's 100m,,,,
Daniel Bailey,Antigua and Barbuda,Americas,25,179,68,M,Athletics,"Men's 100m, Men's 200m",,,,
Ben Youssef Meite,Côte d'Ivoire,Africa,25,180,84,M,Athletics,"Men's 100m, Men's 200m",,,,
Amr Ibrahim Mostafa Seoud,Egypt,Africa,26,180,73,M,Athletics,"Men's 100m, Men's 200m",,,,
Marek Niit,Estonia,Europe,24,182,82,M,Athletics,"Men's 100m, Men's 200m",,,,
Aziz Ouhadi,Morocco,Africa,28,168,72,M,Athletics,"Men's 100m, Men's 200m",,,,
Jaysuma Saidy Ndure,Norway,Europe,28,,,M,Athletics,"Men's 100m, Men's 200m",,,,
Usain Bolt,Jamaica,Americas,25,196,93,M,Athletics,"Men's 100m, Men's 200m, Men's 4 x 100m Relay",YES,2,,
